Entity	Relation	Value	Iteration of Promotion	Probability	Source	Entity literalStrings	Value literalStrings	Best Entity literalString	Best Value literalString	Categories for Entity	Categories for Value	Candidate Source
concept:retailstore:quik_stop	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Loaf%20'N%20Jug	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Quik Stop" 	"http://en.wikipedia.org/wiki/Loaf%20'N%20Jug" 	Quik Stop	http://en.wikipedia.org/wiki/Loaf%20'N%20Jug			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:athlete:orlovsky	concept:latitudelongitude	49.1166700000000,18.4333300000000	995	1.0	MBL-Iter%3A995-2016%2F05%2F20-21%3A37%3A48-From+ErrorBasedIntegrator+%28LatLong%28orlovsky%2C49.1166700000000%2C18.4333300000000%29%29	"Orlovsky" 	"49.1166700000000,18.4333300000000" 	Orlovsky	49.1166700000000,18.4333300000000			%5BLatLong-Iter%3A286-2011%2F06%2F04-22%3A58%3A51-%3Ctoken%3Dorlovsky%2C49.1166700000000%2C18.4333300000000%3E-orlovsky+dvor%4049.117%2C18.433%5D
concept:model:liz_tilberis	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Liz%20Tilberis	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Liz Tilberis" 	"http://en.wikipedia.org/wiki/Liz%20Tilberis" 	Liz Tilberis	http://en.wikipedia.org/wiki/Liz%20Tilberis			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personus:julian_abele_cook	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Julian%20Abele%20Cook%20Jr%2E	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Julian Abele Cook" 	"http://en.wikipedia.org/wiki/Julian%20Abele%20Cook%20Jr%2E" 	Julian Abele Cook	http://en.wikipedia.org/wiki/Julian%20Abele%20Cook%20Jr%2E			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:skyscraper:admiralty_of_rotterdam	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Admiralty%20of%20Rotterdam	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Admiralty of Rotterdam" 	"http://en.wikipedia.org/wiki/Admiralty%20of%20Rotterdam" 	Admiralty of Rotterdam	http://en.wikipedia.org/wiki/Admiralty%20of%20Rotterdam			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:book:the_chinese_gold_murders	concept:haswikipediaurl	http://en.wikipedia.org/wiki/The%20Chinese%20Gold%20Murders	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"The Chinese Gold Murders" 	"http://en.wikipedia.org/wiki/The%20Chinese%20Gold%20Murders" 	The Chinese Gold Murders	http://en.wikipedia.org/wiki/The%20Chinese%20Gold%20Murders			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:governmentorganization:consumer	concept:agentparticipatedinevent	concept:eventoutcome:result	736	0.99609375	MBL-Iter%3A736-2013%2F06%2F02-02%3A02%3A06-From+ErrorBasedIntegrator+%28CPL%28consumer%2Cresult%29%29	"Consumer" "consumer" 	"result" "Result" 	Consumer	result			%5BCPL-Iter%3A664-2012%2F11%2F30-10%3A27%3A25-%3Ctoken%3Dconsumer%2Cresult%3E-arg1+is+harmed+as+arg2%091%09arg1+who+became+ill+as+arg2%091%09arg1+is+injured+as+arg2%091%09arg1+who+is+injured+as+arg2%094%09arg1+harmed+as+arg2%091%09arg1+suffering+as+arg2%092%09arg1+arising+as+arg2%091%09arg1+injured+as+arg2%091%5D
concept:ethnicgroup:iduna	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Iduna%20(literature%20society)	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Iduna" 	"http://en.wikipedia.org/wiki/Iduna%20(literature%20society)" 	Iduna	http://en.wikipedia.org/wiki/Iduna%20(literature%20society)			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:musicalbum:clutching_at_straws	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Clutching%20at%20Straws	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Clutching at Straws" 	"http://en.wikipedia.org/wiki/Clutching%20at%20Straws" 	Clutching at Straws	http://en.wikipedia.org/wiki/Clutching%20at%20Straws			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:athlete:roland_de_la_maza	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Roland%20de%20la%20Maza	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Roland de la Maza" "roland de la maza" 	"http://en.wikipedia.org/wiki/Roland%20de%20la%20Maza" 	Roland de la Maza	http://en.wikipedia.org/wiki/Roland%20de%20la%20Maza			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
