<Operation_Frantic>	Frantic
<Battle_off_Texel>	Battle off Texel
<Battle_of_the_Lys_(1918)>	Battle of the Lys (1918)
<Operation_Dewey_Canyon>	Prairie Fire
<Battle_of_Sammel>	Battle of Sammel
<Battle_of_Verrières_Ridge>	Battle of Verrieres Ridge
<Attack_on_Panzer_Group_West's_headquarters_at_La_Caine>	Attack on Panzer Group West's headquarters at La Caine
<Japanese_invasion_of_Aparri>	Japanese invasion of Aparri
<Third_Battle_of_Brega>	Third Battle of Brega
<Battle_of_Las_Cruces_(1928)>	Battle of Las Cruces
<Battle_of_Milazzo_(1718)>	Battle of Milazzo (1718)
<Muslim_conquest_of_Transoxiana>	Muslim conquest of Transoxiana
<Action_of_19_December_1796>	Action of 19 December 1796
<Battle_of_Tremseh>	Battle of Tremseh
<Jyllands-Posten_Muhammad_cartoons_controversy>	Jyllands-Posten Muhammad cartoons controversy
<fr/Bataille_de_Nevele>	Bataille de Nevele
<Riot_of_Rostock-Lichtenhagen>	Riot of Rostock-Lichtenhagen
<Boleslaw_I's_intervention_in_the_Kievan_succession_crisis,_1018>	Boleslaw I's intervention in the Kievan succession crisis
<Balkan_Wars>	Balkan Wars
<Second_Battle_of_Bassano>	Second Battle of Bassano
<Raid_on_Lorient>	Raid on Lorient
<Battle_of_Megalopolis>	Battle of Megalopolis
<Battle_of_Llanos_de_Santa_Juana>	Battle of Llanos de Santa Juana
<Battle_of_Suzdal>	Battle of Suzdal
<Battle_of_Langemarck_(1917)>	Battle of Langemarck
<Gweith_Gwen_Ystrat>	Gweith Gwen Ystrat
<Friendly_fire_incident_at_Sangin>	Friendly fire incident at Sangin
<United_States_Army_Air_Forces_in_the_South_Pacific_Area>	United States Army Air Forces in the South Pacific Area
<Siege_of_Bhurtpore_(1805)>	Siege of Bhurtpore
<Battle_of_Ushant_(1781)>	Battle of Ushant (1781)
<Battle_of_Palo_Duro_Canyon>	Palo Duro
<Timeline_of_the_Argentine_War_of_Independence>	Timeline of the Argentine War of Independence
<First_Battle_of_Algeciras>	First Battle of Algeciras
<Siege_of_Warsaw_(1794)>	Siege of Warsaw
<2012_timeline_of_the_War_in_Somalia>	2012 timeline of the War in Somalia
<Operation_Prone>	Operation Prone
<French_invasion_of_the_Isle_of_Wight>	French invasion of the Isle of Wight
<Battle_of_Chipyong-ni>	Battle of Chipyong-ni
<fr/Campagne_d'Intermedios_de_Miller>	Campagne d'Intermedios de Miller
<Siege_of_Udo>	Siege of Udo
<Gunfight_at_Blazer's_Mill>	Gunfight at Blazer's Mill
<pl/Bitwa_pod_Kumejkami>	Bitwa pod Kumejkami
<Occupy_Windsor>	Occupy Windsor
